date,sanitation,drinking,diarrhoea
2000,75,86,26.7
2001,76,87,30.3
2002,77,87,22.6
2003,77,88,20.6
2004,78,88,10.6
2005,79,88,20.9
2006,79,89,24.7
2007,80,89,13.2
2008,80,90,14.9
2009,81,90,18
2010,82,91,16.2
2011,82,91,8.4
2012,83,92,10.2
2013,84,92,8.5
2014,84,93,11.1
2015,85,93,11.3
