date,sanitation,drinking,diarrhoea
2000,52,52,18.3
2001,53,55,17.7
2002,55,58,17.4
2003,57,61,15.5
2004,59,64,14.3
2005,61,67,13.2
2006,63,70,12.5
2007,65,74,12.7
2008,67,77,13.1
2009,69,80,13.3
2010,71,83,13
2011,73,86,12.6
2012,75,89,12.3
2013,77,92,11.9
2014,79,95,11.2
2015,81,98,10.4
