date,sanitation,drinking,diarrhoea
2000,67,72,1.9
2001,69,74,1.1
2002,72,77,1.6
2003,74,79,2.4
2004,76,81,1.3
2005,78,83,1
2006,80,85,0.4
2007,82,87,0.7
2008,85,89,1.2
2009,87,91,0.8
2010,89,93,0.4
2011,91,95,0.2
2012,93,97,0
2013,96,99,0.3
2014,98,100,0.8
2015,99,100,1.1
